fill	x	y	key	group	clickSelects	showSelected1	PANEL
#A58AFF	1994.6030880773	1996.24914375319	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.58759329385	1996.21954957445	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.58102968466	1996.19477787755	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.57423699017	1996.18118986644	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.56725514267	1996.17385702	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.5690857234	1996.16053641229	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.57515122968	1996.14387902519	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.58517213541	1996.12523109647	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.58471501566	1996.0961671141	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.58425684505	1996.07526239297	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.58456684581	1996.04994551588	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.57909191723	1996.02862701105	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.55111513731	1996.00813376841	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.5243342247	1995.99919304382	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.49151407706	1995.99863287982	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.4791119452	1996.00186361993	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.46918456512	1996.00634838974	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.43352712244	1996.0292609415	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.4190537652	1996.01580547949	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.41608091051	1995.98268434223	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.4420547703	1995.92896738085	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.452734559	1995.89901935366	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.4645177402	1995.84884202941	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.47339532112	1995.82296498833	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.47022070323	1995.79878457565	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.44668166291	1995.77131464023	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.42325086015	1995.74545143035	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.3934434995	1995.74008146311	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.37471945395	1995.73084567272	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.36559912668	1995.7175239124	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.35892833079	1995.66094504318	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.35224387385	1995.64023050118	2	2	Afghanistan	Asie du Sud	2
