colour	x	y	key	group	clickSelects	showSelected1	PANEL
#00C094	6.928	1960	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.91	1961	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.893	1962	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.877	1963	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.861	1964	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.841	1965	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.816	1966	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.783	1967	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.738	1968	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.679	1969	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.605	1970	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.512	1971	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.402	1972	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.279	1973	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.146	1974	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	6.009	1975	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.873	1976	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.744	1977	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.624	1978	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.517	1979	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.423	1980	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.344	1981	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.274	1982	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.209	1983	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.141	1984	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	5.065	1985	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	4.973	1986	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	4.86	1987	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	4.724	1988	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	4.566	1989	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	4.388	1990	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	4.193	1991	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	3.989	1992	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	3.784	1993	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	3.584	1994	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	3.394	1995	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	3.217	1996	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	3.055	1997	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.906	1998	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.77	1999	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.645	2000	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.527	2001	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.413	2002	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.301	2003	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.191	2004	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	2.086	2005	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	1.989	2006	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	1.906	2007	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	1.839	2008	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	1.787	2009	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	1.749	2010	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#00C094	1.721	2011	Émirats arabes unis	58	Émirats arabes unis	Moyen-Orient et Afrique du Nord	1
#A58AFF	7.7	1960	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1961	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1962	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1963	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1964	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1965	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1966	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1967	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1968	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1969	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.7	1970	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.699	1971	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.697	1972	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.695	1973	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.693	1974	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.692	1975	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.695	1976	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.701	1977	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.711	1978	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.725	1979	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.742	1980	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.763	1981	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.785	1982	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.807	1983	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.829	1984	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.85	1985	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.871	1986	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.893	1987	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.915	1988	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.937	1989	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.96	1990	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.984	1991	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	8.01	1992	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	8.034	1993	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	8.052	1994	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	8.058	1995	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	8.043	1996	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	8.004	1997	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.939	1998	Afghanistan	1	Afghanistan	Asie du Sud	1
#A58AFF	7.847	1999	Afghanistan	1	Afghanistan	Asie du Sud	1
