ymin	ymax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
2004.5	2005.5	2005 1960	année	2005	année	1960	1	2297
2005.5	2006.5	2006 1960	année	2006	année	1960	1	2348
2006.5	2007.5	2007 1960	année	2007	année	1960	1	2399
2007.5	2008.5	2008 1960	année	2008	année	1960	1	2450
2008.5	2009.5	2009 1960	année	2009	année	1960	1	2501
2009.5	2010.5	2010 1960	année	2010	année	1960	1	2552
2010.5	2011.5	2011 1960	année	2011	année	1960	1	2603
1959.5	1960.5	1960 1961	année	1960	année	1961	1	2
1960.5	1961.5	1	année	1961	année	1961	1	1
1961.5	1962.5	1962 1961	année	1962	année	1961	1	105
1962.5	1963.5	1963 1961	année	1963	année	1961	1	156
1963.5	1964.5	1964 1961	année	1964	année	1961	1	207
1964.5	1965.5	1965 1961	année	1965	année	1961	1	258
1965.5	1966.5	1966 1961	année	1966	année	1961	1	309
1966.5	1967.5	1967 1961	année	1967	année	1961	1	360
1967.5	1968.5	1968 1961	année	1968	année	1961	1	411
1968.5	1969.5	1969 1961	année	1969	année	1961	1	462
1969.5	1970.5	1970 1961	année	1970	année	1961	1	513
1970.5	1971.5	1971 1961	année	1971	année	1961	1	564
1971.5	1972.5	1972 1961	année	1972	année	1961	1	615
1972.5	1973.5	1973 1961	année	1973	année	1961	1	666
1973.5	1974.5	1974 1961	année	1974	année	1961	1	717
1974.5	1975.5	1975 1961	année	1975	année	1961	1	768
1975.5	1976.5	1976 1961	année	1976	année	1961	1	819
1976.5	1977.5	1977 1961	année	1977	année	1961	1	870
1977.5	1978.5	1978 1961	année	1978	année	1961	1	921
1978.5	1979.5	1979 1961	année	1979	année	1961	1	972
1979.5	1980.5	1980 1961	année	1980	année	1961	1	1023
1980.5	1981.5	1981 1961	année	1981	année	1961	1	1074
1981.5	1982.5	1982 1961	année	1982	année	1961	1	1125
1982.5	1983.5	1983 1961	année	1983	année	1961	1	1176
1983.5	1984.5	1984 1961	année	1984	année	1961	1	1227
