colour	x	y	key	label	clickSelects	showSelected1	showSelected2	PANEL	group
#A58AFF	1959.5	31.1320975609756	Afghanistan	Afghanistan	Afghanistan	Afghanistan	Asie du Sud	4	1
#FB61D7	1959.5	49.0362926829268	Afrique du Sud	Afrique du Sud	Afrique du Sud	Afrique du Sud	Afrique subsaharienne	4	2
#C49A00	1959.5	62.2543658536585	Albanie	Albanie	Albanie	Albanie	Europe et Asie centrale	4	3
#00C094	1959.5	46.9853902439025	Algérie	Algérie	Algérie	Algérie	Moyen-Orient et Afrique du Nord	4	4
#C49A00	1959.5	69.6202926829268	Allemagne	Allemagne	Allemagne	Allemagne	Europe et Asie centrale	4	5
#FB61D7	1959.5	32.9853414634146	Angola	Angola	Angola	Angola	Afrique subsaharienne	4	6
#53B400	1959.5	72.2480487804878	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Amérique latine et Caraïbes	4	7
#00C094	1959.5	44.8748780487805	Arabie saoudite	Arabie saoudite	Arabie saoudite	Arabie saoudite	Moyen-Orient et Afrique du Nord	4	8
#53B400	1959.5	65.1751463414634	Argentine	Argentine	Argentine	Argentine	Amérique latine et Caraïbes	4	9
#C49A00	1959.5	65.8539512195122	Arménie	Arménie	Arménie	Arménie	Europe et Asie centrale	4	10
#53B400	1959.5	65.5693658536586	Aruba	Aruba	Aruba	Aruba	Amérique latine et Caraïbes	4	11
#F8766D	1959.5	70.8170731708781	Australie	Australie	Australie	Australie	Asie de l'Est et Pacifique	4	12
#C49A00	1959.5	68.5856097560976	Autriche	Autriche	Autriche	Autriche	Europe et Asie centrale	4	13
#C49A00	1959.5	60.836243902439	Azerbaïdjan	Azerbaïdjan	Azerbaïdjan	Azerbaïdjan	Europe et Asie centrale	4	14
#53B400	1959.5	63.2249268292683	Bahamas	Bahamas	Bahamas	Bahamas	Amérique latine et Caraïbes	4	15
#00C094	1959.5	51.7798048780488	Bahreïn	Bahreïn	Bahreïn	Bahreïn	Moyen-Orient et Afrique du Nord	4	16
#A58AFF	1959.5	47.7585365853659	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Asie du Sud	4	17
#53B400	1959.5	64.4752682926829	Barbade	Barbade	Barbade	Barbade	Amérique latine et Caraïbes	4	18
#C49A00	1959.5	68.2738780487805	Bélarus	Bélarus	Bélarus	Bélarus	Europe et Asie centrale	4	19
#C49A00	1959.5	69.7019512195122	Belgique	Belgique	Belgique	Belgique	Europe et Asie centrale	4	20
#53B400	1959.5	60.8958536585366	Belize	Belize	Belize	Belize	Amérique latine et Caraïbes	4	21
#FB61D7	1959.5	35.5763414634146	Bénin	Bénin	Bénin	Bénin	Afrique subsaharienne	4	22
#00B6EB	1959.5	77.8648780487805	Bermudes	Bermudes	Bermudes	Bermudes	Amérique du Nord	4	23
#A58AFF	1959.5	37.0762682926829	Bhoutan	Bhoutan	Bhoutan	Bhoutan	Asie du Sud	4	24
#53B400	1959.5	42.6520487804878	Bolivie	Bolivie	Bolivie	Bolivie	Amérique latine et Caraïbes	4	25
#C49A00	1959.5	60.2073658536586	Bosnie-Herzégovine	Bosnie-Herzégovine	Bosnie-Herzégovine	Bosnie-Herzégovine	Europe et Asie centrale	4	26
#FB61D7	1959.5	50.537243902439	Botswana	Botswana	Botswana	Botswana	Afrique subsaharienne	4	27
#53B400	1959.5	54.4922195121951	Brésil	Brésil	Brésil	Brésil	Amérique latine et Caraïbes	4	28
#F8766D	1959.5	62.3364634146342	Brunéi Darussalam	Brunéi Darussalam	Brunéi Darussalam	Brunéi Darussalam	Asie de l'Est et Pacifique	4	29
#C49A00	1959.5	69.2475609756098	Bulgarie	Bulgarie	Bulgarie	Bulgarie	Europe et Asie centrale	4	30
#FB61D7	1959.5	35.8631463414634	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Afrique subsaharienne	4	31
#FB61D7	1959.5	41.2365365853659	Burundi	Burundi	Burundi	Burundi	Afrique subsaharienne	4	32
#F8766D	1959.5	42.4041463414634	Cambodge	Cambodge	Cambodge	Cambodge	Asie de l'Est et Pacifique	4	33
#FB61D7	1959.5	41.523756097561	Cameroun	Cameroun	Cameroun	Cameroun	Afrique subsaharienne	4	34
#00B6EB	1959.5	71.1331707317073	Canada	Canada	Canada	Canada	Amérique du Nord	4	35
#FB61D7	1959.5	48.672	Cap-Vert	Cap-Vert	Cap-Vert	Cap-Vert	Afrique subsaharienne	4	36
#53B400	1959.5	57.0162926829268	Chili	Chili	Chili	Chili	Amérique latine et Caraïbes	4	37
#F8766D	1959.5	43.4578780487805	Chine	Chine	Chine	Chine	Asie de l'Est et Pacifique	4	38
#F8766D	1959.5	66.9997073170732	Chine, RAS de Hong Kong	Chine, RAS de Hong Kong	Chine, RAS de Hong Kong	Chine, RAS de Hong Kong	Asie de l'Est et Pacifique	4	39
