x	y	label	key	clickSelects	showSelected1	showSelected2	showSelected3	PANEL	group
6.928	51.6086829268293	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1960	Moyen-Orient et Afrique du Nord	3	58
6.91	52.6601463414634	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1961	Moyen-Orient et Afrique du Nord	3	58
6.893	53.7608292682927	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1962	Moyen-Orient et Afrique du Nord	3	58
6.877	54.9011951219512	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1963	Moyen-Orient et Afrique du Nord	3	58
6.861	56.066243902439	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1964	Moyen-Orient et Afrique du Nord	3	58
6.841	57.2364146341463	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1965	Moyen-Orient et Afrique du Nord	3	58
6.816	58.3916585365854	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1966	Moyen-Orient et Afrique du Nord	3	58
6.783	59.5129268292683	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1967	Moyen-Orient et Afrique du Nord	3	58
6.738	60.5826829268293	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1968	Moyen-Orient et Afrique du Nord	3	58
6.679	61.5878780487805	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1969	Moyen-Orient et Afrique du Nord	3	58
6.605	62.5194878048781	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1970	Moyen-Orient et Afrique du Nord	3	58
6.512	63.373	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1971	Moyen-Orient et Afrique du Nord	3	58
6.402	64.1599512195122	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1972	Moyen-Orient et Afrique du Nord	3	58
6.279	64.8883170731707	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1973	Moyen-Orient et Afrique du Nord	3	58
6.146	65.5626341463415	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1974	Moyen-Orient et Afrique du Nord	3	58
6.009	66.1853902439024	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1975	Moyen-Orient et Afrique du Nord	3	58
5.873	66.7605853658537	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1976	Moyen-Orient et Afrique du Nord	3	58
5.744	67.291243902439	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1977	Moyen-Orient et Afrique du Nord	3	58
5.624	67.7853658536585	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1978	Moyen-Orient et Afrique du Nord	3	58
5.517	68.2474634146342	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1979	Moyen-Orient et Afrique du Nord	3	58
5.423	68.6840487804878	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1980	Moyen-Orient et Afrique du Nord	3	58
5.344	69.0996097560976	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1981	Moyen-Orient et Afrique du Nord	3	58
5.274	69.4961463414634	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1982	Moyen-Orient et Afrique du Nord	3	58
5.209	69.8756829268293	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1983	Moyen-Orient et Afrique du Nord	3	58
5.141	70.2411951219512	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1984	Moyen-Orient et Afrique du Nord	3	58
5.065	70.5941707317073	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1985	Moyen-Orient et Afrique du Nord	3	58
4.973	70.9336341463415	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1986	Moyen-Orient et Afrique du Nord	3	58
4.86	71.2575365853659	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1987	Moyen-Orient et Afrique du Nord	3	58
4.724	71.5669024390244	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1988	Moyen-Orient et Afrique du Nord	3	58
4.566	71.861243902439	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1989	Moyen-Orient et Afrique du Nord	3	58
4.388	72.1435365853659	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1990	Moyen-Orient et Afrique du Nord	3	58
4.193	72.4153170731707	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1991	Moyen-Orient et Afrique du Nord	3	58
3.989	72.6785853658537	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1992	Moyen-Orient et Afrique du Nord	3	58
3.784	72.9353414634146	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1993	Moyen-Orient et Afrique du Nord	3	58
3.584	73.1870975609756	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1994	Moyen-Orient et Afrique du Nord	3	58
3.394	73.4348536585366	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1995	Moyen-Orient et Afrique du Nord	3	58
3.217	73.6800975609756	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1996	Moyen-Orient et Afrique du Nord	3	58
3.055	73.9208292682927	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1997	Moyen-Orient et Afrique du Nord	3	58
2.906	74.1570487804878	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1998	Moyen-Orient et Afrique du Nord	3	58
2.77	74.3887317073171	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	1999	Moyen-Orient et Afrique du Nord	3	58
2.645	74.6159024390244	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2000	Moyen-Orient et Afrique du Nord	3	58
2.527	74.8370731707317	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2001	Moyen-Orient et Afrique du Nord	3	58
2.413	75.0522195121951	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2002	Moyen-Orient et Afrique du Nord	3	58
2.301	75.2608780487805	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2003	Moyen-Orient et Afrique du Nord	3	58
2.191	75.4639756097561	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2004	Moyen-Orient et Afrique du Nord	3	58
2.086	75.6604634146342	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2005	Moyen-Orient et Afrique du Nord	3	58
1.989	75.8518048780488	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2006	Moyen-Orient et Afrique du Nord	3	58
1.906	76.0384390243903	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2007	Moyen-Orient et Afrique du Nord	3	58
1.839	76.2213414634146	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2008	Moyen-Orient et Afrique du Nord	3	58
1.787	76.3995609756098	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2009	Moyen-Orient et Afrique du Nord	3	58
1.749	76.5736097560976	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2010	Moyen-Orient et Afrique du Nord	3	58
1.721	76.7425365853659	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	Émirats arabes unis	2011	Moyen-Orient et Afrique du Nord	3	58
7.7	31.1320975609756	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1960	Asie du Sud	3	1
7.7	31.4752926829268	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1961	Asie du Sud	3	1
7.7	31.8320243902439	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1962	Asie du Sud	3	1
7.7	32.2042682926829	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1963	Asie du Sud	3	1
7.7	32.5910487804878	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1964	Asie du Sud	3	1
7.7	32.9898780487805	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1965	Asie du Sud	3	1
7.7	33.3967317073171	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1966	Asie du Sud	3	1
7.7	33.8091463414634	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1967	Asie du Sud	3	1
7.7	34.2230731707317	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1968	Asie du Sud	3	1
7.7	34.637512195122	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1969	Asie du Sud	3	1
7.7	35.0559756097561	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1970	Asie du Sud	3	1
7.699	35.4814146341463	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1971	Asie du Sud	3	1
