x	y	label	key	clickSelects	showSelected1	showSelected2	showSelected3	PANEL	group
7.697	35.9168780487805	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1972	Asie du Sud	3	1
7.695	36.3613170731707	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1973	Asie du Sud	3	1
7.693	36.8107317073171	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1974	Asie du Sud	3	1
7.692	37.2571219512195	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1975	Asie du Sud	3	1
7.695	37.6909756097561	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1976	Asie du Sud	3	1
7.701	38.1062926829268	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1977	Asie du Sud	3	1
7.711	38.4965853658537	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1978	Asie du Sud	3	1
7.725	38.8618536585366	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1979	Asie du Sud	3	1
7.742	39.2041219512195	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1980	Asie du Sud	3	1
7.763	39.5269512195122	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1981	Asie du Sud	3	1
7.785	39.8398292682927	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1982	Asie du Sud	3	1
7.807	40.149243902439	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1983	Asie du Sud	3	1
7.829	40.4586829268293	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1984	Asie du Sud	3	1
7.85	40.7705853658537	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1985	Asie du Sud	3	1
7.871	41.0848780487805	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1986	Asie du Sud	3	1
7.893	41.399	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1987	Asie du Sud	3	1
7.915	41.7109268292683	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1988	Asie du Sud	3	1
7.937	42.0211951219512	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1989	Asie du Sud	3	1
7.96	42.3293658536585	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1990	Asie du Sud	3	1
7.984	42.636	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1991	Asie du Sud	3	1
8.01	42.9397317073171	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1992	Asie du Sud	3	1
8.034	43.2420975609756	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1993	Asie du Sud	3	1
8.052	43.5426585365854	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1994	Asie du Sud	3	1
8.058	43.8409024390244	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1995	Asie du Sud	3	1
8.043	44.1368048780488	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1996	Asie du Sud	3	1
8.004	44.4298048780488	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1997	Asie du Sud	3	1
7.939	44.7213414634146	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1998	Asie du Sud	3	1
7.847	45.0098536585366	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1999	Asie du Sud	3	1
7.73	45.2928536585366	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2000	Asie du Sud	3	1
7.595	45.5672682926829	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2001	Asie du Sud	3	1
7.447	45.8331463414634	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2002	Asie du Sud	3	1
7.294	46.0924390243902	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2003	Asie du Sud	3	1
7.14	46.3511951219512	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2004	Asie du Sud	3	1
6.989	46.6164146341463	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2005	Asie du Sud	3	1
6.843	46.8990975609756	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2006	Asie du Sud	3	1
6.7	47.2053170731707	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2007	Asie du Sud	3	1
6.559	47.5385609756098	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2008	Asie du Sud	3	1
6.422	47.8988536585366	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2009	Asie du Sud	3	1
6.288	48.2821951219512	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2010	Asie du Sud	3	1
6.158	48.6805853658537	Afghanistan	Afghanistan	Afghanistan	Afghanistan	2011	Asie du Sud	3	1
2	72.2480487804878	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	1982	Amérique latine et Caraïbes	3	7
1.9	73.0082926829268	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	1987	Amérique latine et Caraïbes	3	7
1.7	74.2463414634146	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	1992	Amérique latine et Caraïbes	3	7
1.7	74.7317073170732	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	1997	Amérique latine et Caraïbes	3	7
1.7	75.280487804878	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	2002	Amérique latine et Caraïbes	3	7
5.951	62.2543658536585	Albanie	Albanie	Albanie	Albanie	1960	Europe et Asie centrale	3	3
5.891	63.2734634146342	Albanie	Albanie	Albanie	Albanie	1961	Europe et Asie centrale	3	3
5.808	64.1623414634146	Albanie	Albanie	Albanie	Albanie	1962	Europe et Asie centrale	3	3
5.704	64.8870975609756	Albanie	Albanie	Albanie	Albanie	1963	Europe et Asie centrale	3	3
5.586	65.4376829268293	Albanie	Albanie	Albanie	Albanie	1964	Europe et Asie centrale	3	3
5.458	65.8294390243903	Albanie	Albanie	Albanie	Albanie	1965	Europe et Asie centrale	3	3
5.329	66.1000731707317	Albanie	Albanie	Albanie	Albanie	1966	Europe et Asie centrale	3	3
5.202	66.3118048780488	Albanie	Albanie	Albanie	Albanie	1967	Europe et Asie centrale	3	3
5.083	66.5164390243903	Albanie	Albanie	Albanie	Albanie	1968	Europe et Asie centrale	3	3
4.972	66.7384634146342	Albanie	Albanie	Albanie	Albanie	1969	Europe et Asie centrale	3	3
4.872	66.9894390243903	Albanie	Albanie	Albanie	Albanie	1970	Europe et Asie centrale	3	3
4.778	67.265512195122	Albanie	Albanie	Albanie	Albanie	1971	Europe et Asie centrale	3	3
4.688	67.5444634146342	Albanie	Albanie	Albanie	Albanie	1972	Europe et Asie centrale	3	3
4.598	67.813512195122	Albanie	Albanie	Albanie	Albanie	1973	Europe et Asie centrale	3	3
4.507	68.0722682926829	Albanie	Albanie	Albanie	Albanie	1974	Europe et Asie centrale	3	3
4.417	68.3258292682927	Albanie	Albanie	Albanie	Albanie	1975	Europe et Asie centrale	3	3
4.33	68.5777073170732	Albanie	Albanie	Albanie	Albanie	1976	Europe et Asie centrale	3	3
4.247	68.8343414634146	Albanie	Albanie	Albanie	Albanie	1977	Europe et Asie centrale	3	3
4.17	69.0996341463415	Albanie	Albanie	Albanie	Albanie	1978	Europe et Asie centrale	3	3
4.099	69.3770731707317	Albanie	Albanie	Albanie	Albanie	1979	Europe et Asie centrale	3	3
4.037	69.6740487804878	Albanie	Albanie	Albanie	Albanie	1980	Europe et Asie centrale	3	3
3.985	70.0004634146341	Albanie	Albanie	Albanie	Albanie	1981	Europe et Asie centrale	3	3
3.942	70.351243902439	Albanie	Albanie	Albanie	Albanie	1982	Europe et Asie centrale	3	3
3.904	70.7154146341463	Albanie	Albanie	Albanie	Albanie	1983	Europe et Asie centrale	3	3
3.865	71.076487804878	Albanie	Albanie	Albanie	Albanie	1984	Europe et Asie centrale	3	3
3.816	71.3975853658537	Albanie	Albanie	Albanie	Albanie	1985	Europe et Asie centrale	3	3
3.747	71.6373658536586	Albanie	Albanie	Albanie	Albanie	1986	Europe et Asie centrale	3	3
3.65	71.7749268292683	Albanie	Albanie	Albanie	Albanie	1987	Europe et Asie centrale	3	3
3.527	71.8093658536585	Albanie	Albanie	Albanie	Albanie	1988	Europe et Asie centrale	3	3
3.38	71.7542195121951	Albanie	Albanie	Albanie	Albanie	1989	Europe et Asie centrale	3	3
3.219	71.6454390243903	Albanie	Albanie	Albanie	Albanie	1990	Europe et Asie centrale	3	3
3.058	71.5314878048781	Albanie	Albanie	Albanie	Albanie	1991	Europe et Asie centrale	3	3
2.91	71.4652195121951	Albanie	Albanie	Albanie	Albanie	1992	Europe et Asie centrale	3	3
2.784	71.487	Albanie	Albanie	Albanie	Albanie	1993	Europe et Asie centrale	3	3
2.683	71.6177317073171	Albanie	Albanie	Albanie	Albanie	1994	Europe et Asie centrale	3	3
2.604	71.8702926829268	Albanie	Albanie	Albanie	Albanie	1995	Europe et Asie centrale	3	3
2.54	72.2410731707317	Albanie	Albanie	Albanie	Albanie	1996	Europe et Asie centrale	3	3
2.478	72.6960731707317	Albanie	Albanie	Albanie	Albanie	1997	Europe et Asie centrale	3	3
2.409	73.1978048780488	Albanie	Albanie	Albanie	Albanie	1998	Europe et Asie centrale	3	3
2.33	73.7218292682927	Albanie	Albanie	Albanie	Albanie	1999	Europe et Asie centrale	3	3
2.241	74.2387317073171	Albanie	Albanie	Albanie	Albanie	2000	Europe et Asie centrale	3	3
2.142	74.7236585365854	Albanie	Albanie	Albanie	Albanie	2001	Europe et Asie centrale	3	3
2.04	75.1612195121951	Albanie	Albanie	Albanie	Albanie	2002	Europe et Asie centrale	3	3
1.941	75.5420243902439	Albanie	Albanie	Albanie	Albanie	2003	Europe et Asie centrale	3	3
1.847	75.8591219512195	Albanie	Albanie	Albanie	Albanie	2004	Europe et Asie centrale	3	3
1.764	76.112	Albanie	Albanie	Albanie	Albanie	2005	Europe et Asie centrale	3	3
1.692	76.3096341463415	Albanie	Albanie	Albanie	Albanie	2006	Europe et Asie centrale	3	3
1.635	76.4734146341464	Albanie	Albanie	Albanie	Albanie	2007	Europe et Asie centrale	3	3
1.59	76.620756097561	Albanie	Albanie	Albanie	Albanie	2008	Europe et Asie centrale	3	3
1.558	76.7610975609756	Albanie	Albanie	Albanie	Albanie	2009	Europe et Asie centrale	3	3
1.536	76.9009512195122	Albanie	Albanie	Albanie	Albanie	2010	Europe et Asie centrale	3	3
1.523	77.0422682926829	Albanie	Albanie	Albanie	Albanie	2011	Europe et Asie centrale	3	3
4.55	65.8539512195122	Arménie	Arménie	Arménie	Arménie	1960	Europe et Asie centrale	3	10
4.512	66.2754634146342	Arménie	Arménie	Arménie	Arménie	1961	Europe et Asie centrale	3	10
4.435	66.701487804878	Arménie	Arménie	Arménie	Arménie	1962	Europe et Asie centrale	3	10
4.317	67.1300243902439	Arménie	Arménie	Arménie	Arménie	1963	Europe et Asie centrale	3	10
4.161	67.5580975609756	Arménie	Arménie	Arménie	Arménie	1964	Europe et Asie centrale	3	10
3.979	67.9847317073171	Arménie	Arménie	Arménie	Arménie	1965	Europe et Asie centrale	3	10
3.788	68.4093902439025	Arménie	Arménie	Arménie	Arménie	1966	Europe et Asie centrale	3	10
3.606	68.8266341463415	Arménie	Arménie	Arménie	Arménie	1967	Europe et Asie centrale	3	10
3.447	69.2264146341464	Arménie	Arménie	Arménie	Arménie	1968	Europe et Asie centrale	3	10
3.314	69.5987073170732	Arménie	Arménie	Arménie	Arménie	1969	Europe et Asie centrale	3	10
3.208	69.9244390243903	Arménie	Arménie	Arménie	Arménie	1970	Europe et Asie centrale	3	10
3.118	70.1830487804878	Arménie	Arménie	Arménie	Arménie	1971	Europe et Asie centrale	3	10
3.032	70.367512195122	Arménie	Arménie	Arménie	Arménie	1972	Europe et Asie centrale	3	10
2.942	70.4793170731707	Arménie	Arménie	Arménie	Arménie	1973	Europe et Asie centrale	3	10
2.846	70.5239756097561	Arménie	Arménie	Arménie	Arménie	1974	Europe et Asie centrale	3	10
2.745	70.527512195122	Arménie	Arménie	Arménie	Arménie	1975	Europe et Asie centrale	3	10
2.646	70.5234634146342	Arménie	Arménie	Arménie	Arménie	1976	Europe et Asie centrale	3	10
2.555	70.5364146341463	Arménie	Arménie	Arménie	Arménie	1977	Europe et Asie centrale	3	10
2.479	70.576	Arménie	Arménie	Arménie	Arménie	1978	Europe et Asie centrale	3	10
2.421	70.6352926829268	Arménie	Arménie	Arménie	Arménie	1979	Europe et Asie centrale	3	10
2.385	70.6800975609756	Arménie	Arménie	Arménie	Arménie	1980	Europe et Asie centrale	3	10
2.373	70.6587317073171	Arménie	Arménie	Arménie	Arménie	1981	Europe et Asie centrale	3	10
2.381	70.5352195121951	Arménie	Arménie	Arménie	Arménie	1982	Europe et Asie centrale	3	10
2.406	70.2919268292683	Arménie	Arménie	Arménie	Arménie	1983	Europe et Asie centrale	3	10
2.441	69.9390487804878	Arménie	Arménie	Arménie	Arménie	1984	Europe et Asie centrale	3	10
2.481	69.5044146341464	Arménie	Arménie	Arménie	Arménie	1985	Europe et Asie centrale	3	10
2.519	69.0312195121951	Arménie	Arménie	Arménie	Arménie	1986	Europe et Asie centrale	3	10
2.549	68.5769268292683	Arménie	Arménie	Arménie	Arménie	1987	Europe et Asie centrale	3	10
2.566	68.1938536585366	Arménie	Arménie	Arménie	Arménie	1988	Europe et Asie centrale	3	10
2.565	67.9126097560976	Arménie	Arménie	Arménie	Arménie	1989	Europe et Asie centrale	3	10
2.538	67.757243902439	Arménie	Arménie	Arménie	Arménie	1990	Europe et Asie centrale	3	10
2.482	67.7360731707317	Arménie	Arménie	Arménie	Arménie	1991	Europe et Asie centrale	3	10
2.399	67.8285365853659	Arménie	Arménie	Arménie	Arménie	1992	Europe et Asie centrale	3	10
2.295	68.012756097561	Arménie	Arménie	Arménie	Arménie	1993	Europe et Asie centrale	3	10
2.176	68.2789268292683	Arménie	Arménie	Arménie	Arménie	1994	Europe et Asie centrale	3	10
2.053	68.6204634146342	Arménie	Arménie	Arménie	Arménie	1995	Europe et Asie centrale	3	10
1.938	69.0294390243903	Arménie	Arménie	Arménie	Arménie	1996	Europe et Asie centrale	3	10
1.838	69.4916341463415	Arménie	Arménie	Arménie	Arménie	1997	Europe et Asie centrale	3	10
1.762	69.9855365853659	Arménie	Arménie	Arménie	Arménie	1998	Europe et Asie centrale	3	10
1.712	70.4924878048781	Arménie	Arménie	Arménie	Arménie	1999	Europe et Asie centrale	3	10
1.688	70.9894390243903	Arménie	Arménie	Arménie	Arménie	2000	Europe et Asie centrale	3	10
1.684	71.4580487804878	Arménie	Arménie	Arménie	Arménie	2001	Europe et Asie centrale	3	10
1.692	71.8896097560976	Arménie	Arménie	Arménie	Arménie	2002	Europe et Asie centrale	3	10
1.704	72.2783902439025	Arménie	Arménie	Arménie	Arménie	2003	Europe et Asie centrale	3	10
1.715	72.6164146341464	Arménie	Arménie	Arménie	Arménie	2004	Europe et Asie centrale	3	10
1.724	72.9007073170732	Arménie	Arménie	Arménie	Arménie	2005	Europe et Asie centrale	3	10
1.728	73.1342195121951	Arménie	Arménie	Arménie	Arménie	2006	Europe et Asie centrale	3	10
1.731	73.3278292682927	Arménie	Arménie	Arménie	Arménie	2007	Europe et Asie centrale	3	10
1.734	73.4959512195122	Arménie	Arménie	Arménie	Arménie	2008	Europe et Asie centrale	3	10
1.735	73.6455365853658	Arménie	Arménie	Arménie	Arménie	2009	Europe et Asie centrale	3	10
1.736	73.7835609756098	Arménie	Arménie	Arménie	Arménie	2010	Europe et Asie centrale	3	10
1.736	73.9160243902439	Arménie	Arménie	Arménie	Arménie	2011	Europe et Asie centrale	3	10
7.316	32.9853414634146	Angola	Angola	Angola	Angola	1960	Afrique subsaharienne	3	6
7.354	33.3862195121951	Angola	Angola	Angola	Angola	1961	Afrique subsaharienne	3	6
7.385	33.7870975609756	Angola	Angola	Angola	Angola	1962	Afrique subsaharienne	3	6
7.41	34.1879512195122	Angola	Angola	Angola	Angola	1963	Afrique subsaharienne	3	6
7.425	34.5883170731707	Angola	Angola	Angola	Angola	1964	Afrique subsaharienne	3	6
7.43	34.9891707317073	Angola	Angola	Angola	Angola	1965	Afrique subsaharienne	3	6
7.422	35.391512195122	Angola	Angola	Angola	Angola	1966	Afrique subsaharienne	3	6
7.403	35.7958536585366	Angola	Angola	Angola	Angola	1967	Afrique subsaharienne	3	6
7.375	36.2011951219512	Angola	Angola	Angola	Angola	1968	Afrique subsaharienne	3	6
7.339	36.6060487804878	Angola	Angola	Angola	Angola	1969	Afrique subsaharienne	3	6
7.301	37.0114146341463	Angola	Angola	Angola	Angola	1970	Afrique subsaharienne	3	6
7.264	37.4192926829268	Angola	Angola	Angola	Angola	1971	Afrique subsaharienne	3	6
7.232	37.8262195121951	Angola	Angola	Angola	Angola	1972	Afrique subsaharienne	3	6
7.208	38.2276585365854	Angola	Angola	Angola	Angola	1973	Afrique subsaharienne	3	6
7.192	38.6156585365854	Angola	Angola	Angola	Angola	1974	Afrique subsaharienne	3	6
7.185	38.979243902439	Angola	Angola	Angola	Angola	1975	Afrique subsaharienne	3	6
7.186	39.305	Angola	Angola	Angola	Angola	1976	Afrique subsaharienne	3	6
7.189	39.5854146341463	Angola	Angola	Angola	Angola	1977	Afrique subsaharienne	3	6
7.194	39.8194390243902	Angola	Angola	Angola	Angola	1978	Afrique subsaharienne	3	6
7.197	40.0089756097561	Angola	Angola	Angola	Angola	1979	Afrique subsaharienne	3	6
7.2	40.1618048780488	Angola	Angola	Angola	Angola	1980	Afrique subsaharienne	3	6
7.201	40.2902195121951	Angola	Angola	Angola	Angola	1981	Afrique subsaharienne	3	6
7.203	40.4100487804878	Angola	Angola	Angola	Angola	1982	Afrique subsaharienne	3	6
7.205	40.5297804878049	Angola	Angola	Angola	Angola	1983	Afrique subsaharienne	3	6
7.207	40.655487804878	Angola	Angola	Angola	Angola	1984	Afrique subsaharienne	3	6
7.208	40.7803414634146	Angola	Angola	Angola	Angola	1985	Afrique subsaharienne	3	6
7.206	40.8905609756098	Angola	Angola	Angola	Angola	1986	Afrique subsaharienne	3	6
7.202	40.9779756097561	Angola	Angola	Angola	Angola	1987	Afrique subsaharienne	3	6
7.194	41.0418048780488	Angola	Angola	Angola	Angola	1988	Afrique subsaharienne	3	6
7.182	41.091243902439	Angola	Angola	Angola	Angola	1989	Afrique subsaharienne	3	6
7.165	41.1414146341463	Angola	Angola	Angola	Angola	1990	Afrique subsaharienne	3	6
7.144	41.2088780487805	Angola	Angola	Angola	Angola	1991	Afrique subsaharienne	3	6
