colour	x	y	key	label	clickSelects	showSelected1	showSelected2	PANEL	group
#A58AFF	7.7	1959.5	Afghanistan	Afghanistan	Afghanistan	Afghanistan	Asie du Sud	1	1
#FB61D7	6.446	1959.5	Afrique du Sud	Afrique du Sud	Afrique du Sud	Afrique du Sud	Afrique subsaharienne	1	2
#C49A00	5.951	1959.5	Albanie	Albanie	Albanie	Albanie	Europe et Asie centrale	1	3
#00C094	7.329	1959.5	Algérie	Algérie	Algérie	Algérie	Moyen-Orient et Afrique du Nord	1	4
#C49A00	2.37	1959.5	Allemagne	Allemagne	Allemagne	Allemagne	Europe et Asie centrale	1	5
#FB61D7	7.316	1959.5	Angola	Angola	Angola	Angola	Afrique subsaharienne	1	6
#53B400	2	1959.5	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Antigua-et-Barbuda	Amérique latine et Caraïbes	1	7
#00C094	7.216	1959.5	Arabie saoudite	Arabie saoudite	Arabie saoudite	Arabie saoudite	Moyen-Orient et Afrique du Nord	1	8
#53B400	3.109	1959.5	Argentine	Argentine	Argentine	Argentine	Amérique latine et Caraïbes	1	9
#C49A00	4.55	1959.5	Arménie	Arménie	Arménie	Arménie	Europe et Asie centrale	1	10
#53B400	4.82	1959.5	Aruba	Aruba	Aruba	Aruba	Amérique latine et Caraïbes	1	11
#F8766D	3.453	1959.5	Australie	Australie	Australie	Australie	Asie de l'Est et Pacifique	1	12
#C49A00	2.69	1959.5	Autriche	Autriche	Autriche	Autriche	Europe et Asie centrale	1	13
#C49A00	5.571	1959.5	Azerbaïdjan	Azerbaïdjan	Azerbaïdjan	Azerbaïdjan	Europe et Asie centrale	1	14
#53B400	4.495	1959.5	Bahamas	Bahamas	Bahamas	Bahamas	Amérique latine et Caraïbes	1	15
#00C094	7.09	1959.5	Bahreïn	Bahreïn	Bahreïn	Bahreïn	Moyen-Orient et Afrique du Nord	1	16
#A58AFF	6.724	1959.5	Bangladesh	Bangladesh	Bangladesh	Bangladesh	Asie du Sud	1	17
#53B400	4.333	1959.5	Barbade	Barbade	Barbade	Barbade	Amérique latine et Caraïbes	1	18
#C49A00	2.67	1959.5	Bélarus	Bélarus	Bélarus	Bélarus	Europe et Asie centrale	1	19
#C49A00	2.575	1959.5	Belgique	Belgique	Belgique	Belgique	Europe et Asie centrale	1	20
#53B400	6.5	1959.5	Belize	Belize	Belize	Belize	Amérique latine et Caraïbes	1	21
#FB61D7	6.282	1959.5	Bénin	Bénin	Bénin	Bénin	Afrique subsaharienne	1	22
#00B6EB	1.74	1959.5	Bermudes	Bermudes	Bermudes	Bermudes	Amérique du Nord	1	23
#A58AFF	6.67	1959.5	Bhoutan	Bhoutan	Bhoutan	Bhoutan	Asie du Sud	1	24
#53B400	6.696	1959.5	Bolivie	Bolivie	Bolivie	Bolivie	Amérique latine et Caraïbes	1	25
#C49A00	4.052	1959.5	Bosnie-Herzégovine	Bosnie-Herzégovine	Bosnie-Herzégovine	Bosnie-Herzégovine	Europe et Asie centrale	1	26
#FB61D7	6.615	1959.5	Botswana	Botswana	Botswana	Botswana	Afrique subsaharienne	1	27
#53B400	6.21	1959.5	Brésil	Brésil	Brésil	Brésil	Amérique latine et Caraïbes	1	28
#F8766D	6.487	1959.5	Brunéi Darussalam	Brunéi Darussalam	Brunéi Darussalam	Brunéi Darussalam	Asie de l'Est et Pacifique	1	29
#C49A00	2.308	1959.5	Bulgarie	Bulgarie	Bulgarie	Bulgarie	Europe et Asie centrale	1	30
#FB61D7	6.291	1959.5	Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso	Afrique subsaharienne	1	31
#FB61D7	6.801	1959.5	Burundi	Burundi	Burundi	Burundi	Afrique subsaharienne	1	32
#F8766D	6.3	1959.5	Cambodge	Cambodge	Cambodge	Cambodge	Asie de l'Est et Pacifique	1	33
#FB61D7	5.774	1959.5	Cameroun	Cameroun	Cameroun	Cameroun	Afrique subsaharienne	1	34
#00B6EB	3.811	1959.5	Canada	Canada	Canada	Canada	Amérique du Nord	1	35
#FB61D7	6.885	1959.5	Cap-Vert	Cap-Vert	Cap-Vert	Cap-Vert	Afrique subsaharienne	1	36
#53B400	5.582	1959.5	Chili	Chili	Chili	Chili	Amérique latine et Caraïbes	1	37
#F8766D	5.469	1959.5	Chine	Chine	Chine	Chine	Asie de l'Est et Pacifique	1	38
#F8766D	5.162	1959.5	Chine, RAS de Hong Kong	Chine, RAS de Hong Kong	Chine, RAS de Hong Kong	Chine, RAS de Hong Kong	Asie de l'Est et Pacifique	1	39
#C49A00	3.5	1959.5	Chypre	Chypre	Chypre	Chypre	Europe et Asie centrale	1	40
#00C094	6.528	1959.5	Cisjordanie et Gaza	Cisjordanie et Gaza	Cisjordanie et Gaza	Cisjordanie et Gaza	Moyen-Orient et Afrique du Nord	1	41
#53B400	6.807	1959.5	Colombie	Colombie	Colombie	Colombie	Amérique latine et Caraïbes	1	42
#FB61D7	6.792	1959.5	Comores	Comores	Comores	Comores	Afrique subsaharienne	1	43
